KO	GeneNumber	Description
K00383	1	 GSR, gor; glutathione reductase (NADPH) [EC:1.8.1.7]
K00015	1	 gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K00287	1	 DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]
K00128	2	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00432	2	 gpx; glutathione peroxidase [EC:1.11.1.9]
K00024	1	 mdh; malate dehydrogenase [EC:1.1.1.37]
K00459	2	 ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]
K00021	1	 HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00568	1	 ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]
K00031	1	 IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
K00003	1	 E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
K00411	1	 UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]
K00013	1	 hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00014	1	 aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00228	1	 CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]
K00560	1	 thyA, TYMS; thymidylate synthase [EC:2.1.1.45]
K00029	1	 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00477	2	 PHYH; phytanoyl-CoA hydroxylase [EC:1.14.11.18]
K00311	1	 ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
K00057	1	 gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00020	1	 mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00537	1	 ARSC1, arsC; arsenate reductase [EC:1.20.4.1]
